Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Kosovo,Europe,227746,3128,,,,,,Kyrgyzstan,2721035,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,RIBSP - QazVac"
Kuwait,Asia,630641,2555,,,,,,Lao People's Democratic Republic,10527679,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Kyrgyzstan,Asia,200973,2991,,,,,,Latvia,2811093,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Lao People's Democratic Republic,,198346,707,,,,,,Lebanon,5594324,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Latvia,Europe,811056,5680,,,,,,Lesotho,905438,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Lebanon,Asia,1095099,10352,,,,,,Liberia,1208041,1,SII - Covishield
Lesotho,Africa,32968,697,,,,,,Libya,3451352,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Liberia,Africa,7402,294,,,,,,Liechtenstein,71104,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Libya,Africa,501834,6429,,,,,,Lithuania,4458993,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Liechtenstein,Europe,16818,82,,,,,,Luxembourg,1251437,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Lithuania,Europe,1046395,8997,,,,,,Madagascar,1306962,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
