Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED_NAME
Tokelau,,0,0,,0,0,0,0,Tuvalu,12528,1,AstraZeneca - Vaxzevria
Tonga,,8761,11,,0,0,0,0,Uganda,19399787,5,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Trinidad and Tobago,America,140781,3787,,0,0,0,0,Ukraine,31668577,6,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Tunisia,Africa,1038668,28509,,0,0,0,0,United Arab Emirates,24628316,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield"
Turkey,Europe,14978031,98493,,0,0,0,0,United Republic of Tanzania,5031070,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Turkmenistan,America,0,0,,0,0,0,0,United States of America,552480933,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Turks and Caicos Islands,,5936,36,,0,0,0,0,Uruguay,8109917,3,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Tuvalu,,0,0,,0,0,0,0,Uzbekistan,46569941,7,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Uganda,Africa,163944,3597,,0,0,0,0,Vanuatu,242178,3,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S"
Ukraine,Europe,4990465,108220,,0,0,0,0,Venezuela (Bolivarian Republic of),37860994,6,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac"
United Arab Emirates,Asia,894523,2302,,0,0,0,0,Viet Nam,208244568,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
United Kingdom,Europe,21715120,171046,,0,0,0,0,Wallis and Futuna,16287,1,Moderna - Spikevax
United Republic of Tanzania,Africa,33851,803,,0,0,0,0,Yemen,814569,3,"Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
United States of America,America,79716960,979321,,0,0,0,0,Zambia,3383947,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
United States Virgin Islands,America,15836,111,,0,0,0,0,Zimbabwe,9518765,4,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac"
Uruguay,America,894630,7186,,0,0,0,0,,0,0,
Uzbekistan,Asia,238176,1637,,0,0,0,0,,0,0,
Vanuatu,Oceania,5543,6,,0,0,0,0,,0,0,
Venezuela (Bolivarian Republic of),America,521618,5697,,0,0,0,0,,0,0,
Vietnam,Asia,10297587,42878,,0,0,0,0,,0,0,
Wallis and Futuna,Oceania,454,7,,0,0,0,0,,0,0,
Yemen,Asia,11815,2147,,0,0,0,0,,0,0,
Zambia,Africa,317804,3968,,0,0,0,0,,0,0,
Zimbabwe,Africa,247160,5460,,0,0,0,0,,0,0,
